# Time-correlated data for fix SS
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz
0 100
31 300 371 72320.8 34389.9 -79675.4
32 310 370 -69861.2 -67919.4 -13040.3
33 320 369 -277616 5388.94 -17040.8
34 330 368 -186776 113140 -56806.1
35 340 367 30087.7 29454.3 101851
36 350 366 99547.7 -74592.8 87437.8
37 360 365 133579 91585.2 -48285.6
38 370 364 269069 42970 -62308.7
39 380 363 136540 -98801.9 -68652.3
40 390 362 -48745.2 127832 -64763.4
41 400 361 39914.2 127817 -24127.2
42 410 360 -61874 -57734.6 44783.1
43 420 359 1415.14 12662.5 119191
44 430 358 98026.9 77042 -1417.26
45 440 357 79342.8 3852.08 -30120.8
46 450 356 -89859.8 1467.08 -7528.84
47 460 355 -94104.3 151380 -42241.8
48 470 354 92590.1 39064.1 -18551
49 480 353 -39187.5 -106883 55565.1
50 490 352 -86729.1 77645 54085.6
51 500 351 -12100 26532 -45131.2
52 510 350 80862.3 -5449.45 22843.3
53 520 349 -90142.4 203082 6366.49
54 530 348 -28427.3 110329 -53136.4
55 540 347 58106.6 9622.62 46089.4
56 550 346 -6984.83 61380.4 35705
57 560 345 131539 -5525.73 -16693.6
58 570 344 121920 -14747.1 19197.2
59 580 343 74240.9 53594.8 -38379.6
60 590 342 -20624.3 68499.2 -32700.9
61 600 341 97042.4 -25721.8 21039.5
62 610 340 -128561 52629.2 31911.3
63 620 339 -2279.1 1262.25 11663.3
64 630 338 32301.1 -38728.8 26773.7
65 640 337 17804.4 86290.2 10852
66 650 336 116441 112534 -50883.2
67 660 335 124168 35139.7 -37630.9
68 670 334 -124937 28812.9 -8219.02
69 680 333 -122181 34711.2 -5071.84
70 690 332 106815 -91976.3 -22623.3
71 700 331 207730 -54486.6 21016.8
72 710 330 84020.4 18280.2 11630.8
73 720 329 170299 -48903.5 -50363.7
74 730 328 206960 -5800.76 34142.8
75 740 327 -199751 27528.2 39238.3
76 750 326 100740 -27873.9 -35843.7
77 760 325 -35953.6 246.675 17744.9
78 770 324 -171944 40243.6 28489.3
79 780 323 -10217.5 16105 -25988.4
80 790 322 -82016.8 20586.6 -52860.4
81 800 321 -33856.2 8078.32 5884.22
82 810 320 8373.28 -1931.88 -4104.81
83 820 319 -75885.5 -59933.7 -38559.9
84 830 318 -108126 -27748.9 6559.64
85 840 317 -95324.8 -13974.9 -2125.26
86 850 316 87921.6 -20418.9 -48879.3
87 860 315 6152.3 -33902.8 -48537.2
88 870 314 -130305 26021.8 -39569.7
89 880 313 -28789.1 25767.8 -21949
90 890 312 13747.4 4277.55 -45095.9
91 900 311 -132046 10222.3 -38790.5
92 910 310 154267 64955.5 -147.261
93 920 309 49563.7 -1730.93 -50415.2
94 930 308 22806.8 -105665 -18348
95 940 307 -47523.9 24606.4 39610.9
96 950 306 -278866 -64.6223 40663.1
97 960 305 -164370 -35956.7 12858.1
98 970 304 74062.6 85211.2 -23339.4
99 980 303 202824 98585.6 -8693.21
100 990 302 104211 -23040.3 -10458.3
5000 100
1 0 501 5.92381e+06 1.19456e+06 667535
2 10 500 177235 164917 125222
3 20 499 -21475.9 -15737.5 -66192.4
4 30 498 30151.1 188158 75080.8
5 40 497 -95009.2 -54605.5 -164303
6 50 496 -54250.5 -84772.3 -104918
7 60 495 220208 195434 140924
8 70 494 307912 220429 189417
9 80 493 5664.34 -9080.13 64782.8
10 90 492 19235.5 -11157.7 4414.25
11 100 491 50503.9 18300.2 -30234.5
12 110 490 -59311.6 -131102 -122715
13 120 489 70331.3 -30979.3 -35381.3
14 130 488 169981 153528 123260
15 140 487 149084 107578 118468
16 150 486 252558 -22897.1 69820.8
17 160 485 61669.8 -47984.1 13960.4
18 170 484 -153943 -119304 -42659
19 180 483 -24675.9 -186878 -70483.6
20 190 482 32785.6 -25264.1 -27753.3
21 200 481 -76420.7 -339.518 32715.8
22 210 480 179329 -61779.3 133328
23 220 479 313134 -11235.3 96757.5
24 230 478 -61944 -74342.7 -37490.4
25 240 477 -120809 -115995 -40923.5
26 250 476 43756.8 -67055.7 -37474.4
27 260 475 -156861 17720.4 -28550.4
28 270 474 -44492.2 48562 29449.2
29 280 473 297444 -32040.9 85703.6
30 290 472 60860.2 24590.8 41784.5
31 300 471 66245.7 2268.39 -49468.1
32 310 470 -28598.4 -54157.2 -13559.3
33 320 469 -240108 9424.97 -21475.2
34 330 468 -171616 69045.2 -64199.5
35 340 467 51371.8 19730.9 92401.3
36 350 466 77456.3 -68196 77613.6
37 360 465 102171 58287 -45883.3
38 370 464 231813 21599 -20117.1
39 380 463 101329 -87336.5 -40927
40 390 462 -59628.3 113033 -56702.2
41 400 461 24733 112548 -7164.68
42 410 460 -56836.7 -44733.2 19095.8
43 420 459 -1918.27 15338 90906.2
44 430 458 108798 62656.3 26231.7
45 440 457 62519.5 -11183.4 -13644.6
46 450 456 -74735.5 -10006.9 -3205.06
47 460 455 -61994.9 136164 -29091.2
48 470 454 59383.2 37149.4 -3180.1
49 480 453 -43273.6 -88508 23511.5
50 490 452 -51872.9 77802.3 44532.8
51 500 451 -5792.7 16553.8 -7753.08
52 510 450 58898.3 -7306.3 42578.1
53 520 449 -62912.5 166083 20753.6
54 530 448 -50633.8 90772.1 -35737
55 540 447 16420.5 25712.1 33445.3
56 550 446 3585.21 49672.8 21585.3
57 560 445 90225.5 16596.6 6996.07
58 570 444 70568.2 2721.58 38728.5
59 580 443 85135.4 32163.7 -16631.1
60 590 442 -7895.88 57228.7 -3964.65
61 600 441 35956.7 -19866.6 16162.4
62 610 440 -97575.1 43624.4 8826.59
63 620 439 -5627.81 -900.977 7436.74
64 630 438 -16998.1 -12338 33220.9
65 640 437 44388.9 82696.7 45698.7
66 650 436 101070 73480.3 -19161.2
67 660 435 51615 26225.5 -12465.2
68 670 434 -102991 6211.86 5980.54
69 680 433 -100498 13002.4 -13685.7
70 690 432 34661.5 -86950.6 -14347.8
71 700 431 152244 -36190.4 17463.9
72 710 430 91323.6 48987.5 13021.1
73 720 429 119045 -49534.8 -19162.1
74 730 428 163758 8844.1 49925.6
75 740 427 -155422 32674.2 35664
76 750 426 47255.7 -44728.5 -24691.7
77 760 425 -41279.2 -8330.54 41841.9
78 770 424 -121275 29202 51546.9
79 780 423 -10977.2 19319.4 -372.517
80 790 422 -70039.4 1762.63 -20061.8
81 800 421 -22764.1 16376.2 10563.8
82 810 420 -18289.7 2194.27 -5924.08
83 820 419 -86979.3 -75443.6 -41735.8
84 830 418 -89939.4 -18322.2 8729.12
85 840 417 -91209.2 -18380 19844
86 850 416 64690.4 -21013.4 5222.51
87 860 415 -5451.07 -28542 6003.11
88 870 414 -121820 21759.1 -22629.6
89 880 413 -24878.9 28164.2 -16199.3
90 890 412 -10340.5 -9432.64 -31319.3
91 900 411 -113895 19969.4 -38217.6
92 910 410 100988 44135.3 13651.5
93 920 409 32678.2 2308.08 -14914.7
94 930 408 17135.6 -68327.8 8677.25
95 940 407 -44344.6 7284.67 63936.8
96 950 406 -214694 16411.4 18496.7
97 960 405 -150756 -41134.4 -10433.5
98 970 404 52522.5 46673.8 -6264.2
99 980 403 152325 68645.4 12780.1
100 990 402 47199.1 -36712.4 15202
6000 100
1 0 601 5.05737e+06 1.1343e+06 623758
2 10 600 175587 142473 103667
3 20 599 -33940.5 -34489.8 -59835.6
4 30 598 32029.2 206786 70816.2
5 40 597 -107942 -59233.8 -152021
6 50 596 -75900.9 -107820 -74464
7 60 595 212198 200431 116494
8 70 594 304102 211528 177863
9 80 593 22221.5 -30506.3 63001.6
10 90 592 24077.4 6675.55 -18250.4
11 100 591 34984 24233.7 -21860.4
12 110 590 -74644.5 -136846 -111951
13 120 589 39847.6 -15637.4 -25533.7
14 130 588 153886 144179 114080
15 140 587 150331 65412.5 107707
16 150 586 221912 -11966.8 69853.7
17 160 585 47728.3 -40889.4 -1388.58
18 170 584 -136648 -130268 -33801.4
19 180 583 -51635.1 -147756 -53062.1
20 190 582 -2272.41 -9332.57 -19950
21 200 581 -63945.5 -42631.6 35889.9
22 210 580 181633 -55869.1 117978
23 220 579 282888 3194.85 84408
24 230 578 -52947.7 -110344 -46871.4
25 240 577 -95179.6 -114121 -34918.1
26 250 576 4521.88 -23862.4 -27138.3
27 260 575 -162077 -3347.14 -19869.1
28 270 574 -37112 15296.6 37970.8
29 280 573 255000 -1155.75 72102.6
30 290 572 52580.2 19814.9 40740.1
31 300 571 76616.2 -21878.1 -43088.7
32 310 570 227.777 -28249.7 -17935.3
33 320 569 -215708 12147 -5398.93
34 330 568 -149820 18085 -46706.1
35 340 567 51274.5 7641.84 80530.3
36 350 566 48033.1 -66435.8 66847.2
37 360 565 85718 28387.3 -29809.3
38 370 564 209855 35417.5 -17976.7
39 380 563 82369.6 -51330.5 -45168.7
40 390 562 -43169 86305.5 -26055.2
41 400 561 16130.4 110214 8731.29
42 410 560 -63470.8 -36244.9 16440.3
43 420 559 -6802.37 -10761.1 96453.7
44 430 558 101850 76634.6 19705.9
45 440 557 51893.9 10621.4 -21161.4
46 450 556 -39234.6 -26209.7 7671.62
47 460 555 -43033.9 131728 -15770.6
48 470 554 29011.8 65765.7 6388.95
49 480 553 -36250.9 -105650 26805.6
50 490 552 -66929.9 62998.8 39778.5
51 500 551 -28939.5 51974.8 -3452.15
52 510 550 55835.5 -16466.4 31970.1
53 520 549 -31281.7 126784 25714.6
54 530 548 -37798.3 116416 -11860.3
55 540 547 10511.1 25756.7 43340.4
56 550 546 14886.9 23777.7 30251.5
57 560 545 62402.3 36254.1 3147.4
58 570 544 27023.7 3257.38 21839
59 580 543 86982.3 24107.1 -1475.85
60 590 542 11130.6 65810.6 5020.03
61 600 541 31659.2 -15761.1 13733.1
62 610 540 -48728.6 27460.5 30176.3
63 620 539 10328.6 4656.14 12550.9
64 630 538 -37895.4 -26237.8 26471.5
65 640 537 39819 46876 42596.6
66 650 536 110597 86421.3 -19685
67 660 535 24602.6 16873.7 10705.4
68 670 534 -58623.4 -19173.3 14386.1
69 680 533 -46677.1 40897.2 -2647.62
70 690 532 12894.1 -84689.9 2603.62
71 700 531 129114 -78998.8 446.316
72 710 530 77753.1 54023.6 22437.7
73 720 529 82007.5 -38626.8 -10534.5
74 730 528 142996 -39347.1 34103.7
75 740 527 -97955.4 31118.4 51884.2
76 750 526 41367.5 -13621.9 -21654.7
77 760 525 -28191.2 -41590.2 38908
78 770 524 -93990.2 -1686 43560.4
79 780 523 -28007.1 23369.1 -15453.2
80 790 522 -54543.2 -14028 -2216.35
81 800 521 -22803.7 -10218 25084.2
82 810 520 -23962.7 22802.7 6709.24
83 820 519 -40232.6 -49146.6 -30792.3
84 830 518 -86064.8 -21037.4 10856.8
85 840 517 -97622.1 -5194.31 23076.4
86 850 516 69993.2 -17008.6 -5708.61
